customer_id,age,age_youngest_child,debt_equity,gender,bad_payment,gold_card,pension_plan,household_debt_to_equity_ratio,income,members_in_household,months_current_account,months_customer,call_center_contacts,loan_accounts,number_products,number_transactions,non_worker_percentage,white_collar_percentage,rfm_score
37795,25,0,25,0,0,0,0,41,45262.0,2,7,12,5,0,2,2,8,49,11.165999999999999
46258,30,1,30,1,0,0,0,59,48493.0,3,40,48,2,2,0,3,16,24,10.5
51058,36,11,36,0,0,0,0,49,51036.0,4,22,24,3,1,4,1,3,47,10.716
57939,23,0,23,1,0,0,0,42,54348.0,4,38,48,4,0,2,1,8,48,7.569
533,41,12,41,0,0,0,0,59,18613.0,3,18,24,2,1,3,2,8,31,10.081
59273,32,5,32,1,0,0,0,65,54821.0,6,29,36,0,2,0,0,12,22,0.0
32135,31,0,31,0,0,0,0,56,42213.0,5,16,24,2,0,0,0,9,34,0.0
44696,39,10,39,1,0,0,0,55,47970.0,7,19,24,2,0,3,3,14,30,9.859
60860,31,2,31,1,0,0,0,45,55252.0,5,26,36,4,0,0,0,14,39,0.0
58097,36,4,36,0,0,1,0,61,54382.0,5,10,12,1,3,3,1,7,30,9.499
79121,43,13,43,1,0,0,0,49,61727.0,3,21,24,3,4,5,20,19,31,27.034000000000002
56772,35,5,35,1,0,0,0,47,53585.0,6,16,24,3,1,0,0,14,37,0.0
33105,22,0,22,0,0,0,0,62,42445.0,3,12,24,1,0,6,24,10,26,30.991
59833,46,19,46,1,0,0,0,50,54896.0,4,-3,0,3,1,1,0,16,33,0.0
2485,36,10,36,1,0,0,0,53,25106.0,6,5,12,2,1,2,2,10,35,8.579
50910,35,7,35,1,0,0,0,42,51014.0,6,41,48,4,0,3,2,12,44,9.246
5227,58,28,58,0,0,0,0,58,27290.0,2,40,48,2,1,3,1,13,27,9.019
6065,39,10,39,0,0,0,0,40,28316.0,4,25,36,5,0,3,2,16,43,12.437000000000001
9653,25,0,25,1,0,0,0,49,31313.0,2,17,24,3,1,0,0,15,35,0.0
62034,26,0,26,1,0,0,1,28,55409.0,5,13,24,7,1,4,26,13,57,32.853
8164,30,1,30,0,0,0,0,53,30077.0,2,36,48,2,0,2,1,14,31,8.12
95456,21,0,21,0,0,0,0,69,68050.0,5,26,36,0,1,1,23,10,19,30.21
47724,37,8,37,0,0,0,0,56,49176.0,6,41,48,2,3,4,8,9,33,15.355
33788,36,10,36,1,0,0,0,61,42570.0,4,23,24,1,0,2,1,14,23,11.499
40571,45,15,45,1,0,0,0,38,46278.0,5,10,12,5,1,0,0,14,46,0.0
22239,62,30,62,1,0,0,0,54,38063.0,1,25,36,2,0,4,2,9,36,10.231
34786,19,0,19,0,0,0,0,31,43314.0,5,20,24,6,3,0,0,17,50,0.0
11013,63,31,63,1,0,0,0,51,31860.0,5,41,48,3,0,0,0,10,38,0.0
19405,23,0,23,1,0,0,0,57,36616.0,6,22,24,2,3,5,2,8,34,12.792
57705,41,12,41,0,0,0,0,43,54105.0,7,11,12,4,1,0,0,13,42,0.0
40866,41,11,41,0,0,0,0,53,46491.0,5,12,24,3,0,3,2,15,31,10.772
12070,39,11,39,1,0,0,0,65,32173.0,6,41,48,0,5,2,1,7,27,9.488999999999999
43119,37,5,37,1,0,0,0,54,47107.0,4,-3,0,2,2,1,0,12,32,0.0
24455,24,0,24,1,0,0,0,52,38931.0,7,37,48,3,0,3,2,3,43,11.425999999999998
55679,52,22,52,1,0,0,0,50,53250.0,6,21,24,3,0,0,0,10,38,0.0
51003,48,21,48,0,0,0,0,28,51020.0,1,26,36,7,0,0,0,20,51,0.0
27990,64,33,64,0,0,0,0,53,40863.0,3,21,24,3,1,3,1,8,38,8.956
18866,25,0,25,1,0,0,0,55,35886.0,3,41,48,2,0,0,0,8,36,0.0
30373,30,1,30,1,0,0,0,62,41347.0,3,31,36,1,3,0,0,10,26,0.0
25563,32,2,32,1,0,0,0,61,39812.0,7,40,48,1,0,2,1,8,30,10.022
3549,41,14,41,1,0,0,0,38,26196.0,3,29,36,5,2,2,1,9,51,8.466000000000001
4695,37,8,37,1,0,0,0,49,27006.0,3,39,48,3,1,5,3,12,38,12.05
3796,41,10,41,1,0,0,0,53,26305.0,7,40,48,2,2,3,1,19,26,9.692
58317,37,7,37,1,0,0,0,55,54450.0,2,-5,0,2,0,0,0,10,34,0.0
11474,33,2,33,0,0,0,0,56,32035.0,2,29,36,2,0,3,3,8,34,10.217
45495,28,0,28,0,0,0,0,56,48041.0,3,18,24,2,1,1,1,11,32,9.192
25363,27,0,27,0,0,0,0,49,39820.0,6,29,36,3,1,0,0,14,36,0.0
1071,32,4,32,1,0,0,0,62,21029.0,6,12,24,1,0,5,2,13,24,10.753
101771,49,20,49,0,0,0,0,67,70074.0,1,34,36,0,0,4,2,10,22,8.684
44721,36,8,36,0,0,0,0,52,47998.0,4,14,24,3,7,0,0,8,39,0.0
38110,59,31,59,0,0,0,0,48,45434.0,1,40,48,3,3,2,2,8,42,9.127
23258,52,20,52,1,0,0,0,49,38400.0,6,22,24,3,0,2,1,10,40,9.137
93417,44,15,44,0,0,0,0,44,67071.0,7,22,24,4,1,1,7,18,37,15.213
26842,39,7,39,0,0,0,0,61,40307.0,7,26,36,1,1,2,2,9,28,9.155
58616,53,22,53,0,0,0,0,57,54360.0,2,32,36,2,1,0,0,11,31,0.0
32716,45,15,45,0,0,0,0,65,42320.0,4,22,24,0,1,3,2,17,16,9.751
26595,44,16,44,1,0,0,0,51,40188.0,5,38,48,3,1,2,1,11,37,12.357000000000001
15523,33,4,33,0,0,0,0,37,34653.0,5,22,24,5,7,3,1,26,35,12.699000000000002
11967,28,0,28,1,0,0,0,66,32153.0,6,22,24,1,0,2,1,9,23,10.397
14729,46,14,46,1,0,0,0,57,33914.0,7,9,12,2,1,5,5,10,31,11.759
37564,34,0,34,1,0,0,0,37,45104.0,4,22,24,5,1,4,2,12,50,13.107000000000001
18691,37,7,37,0,0,0,0,50,35858.0,4,25,36,3,1,2,1,7,42,7.746
38657,30,4,30,0,0,0,0,61,45453.0,6,28,36,1,1,0,0,10,27,0.0
18379,38,10,38,1,0,0,0,52,35883.0,4,35,48,2,0,4,2,7,39,8.365
31403,45,16,45,1,0,0,0,47,41871.0,7,32,36,3,0,4,2,13,39,8.55
23291,41,11,41,1,0,0,0,54,38392.0,3,22,24,2,0,3,1,14,30,12.525
62198,43,14,43,0,0,0,0,27,55464.0,5,22,24,7,1,4,3,15,56,10.082
41247,39,9,39,1,0,0,0,54,46581.0,3,-1,0,2,1,2,0,19,25,0.0
40204,35,6,35,0,0,0,0,63,46143.0,4,41,48,1,1,3,2,13,23,9.416
62560,50,19,50,0,0,0,0,66,55499.0,6,21,24,0,2,4,1,10,23,8.333
50546,53,24,53,1,0,0,0,67,50889.0,1,37,48,0,1,6,25,6,26,31.886
93601,39,9,39,0,0,0,0,50,67079.0,5,20,24,3,0,6,3,15,33,11.569
58120,58,32,58,0,0,0,0,50,54424.0,5,37,48,3,0,0,0,15,34,0.0
32248,48,21,48,1,0,0,0,60,42210.0,1,16,24,1,1,2,1,11,28,9.779
13914,22,0,22,0,0,0,0,62,33253.0,5,36,48,1,2,0,0,12,24,0.0
41976,60,34,60,0,0,0,0,66,46636.0,4,-1,0,0,3,0,0,3,29,0.0
24669,32,3,32,0,0,0,0,57,39146.0,7,26,36,2,0,5,2,13,29,9.732000000000001
58266,33,5,33,1,0,0,0,65,54409.0,7,15,24,0,1,0,0,12,21,0.0
34267,40,11,40,0,0,0,0,51,42695.0,3,25,36,3,1,0,0,3,45,0.0
18364,38,9,38,1,0,0,0,56,35902.0,7,37,48,2,1,0,0,9,34,0.0
28370,37,13,37,1,0,0,0,50,40977.0,7,40,48,3,0,1,1,9,40,9.297
60500,38,10,38,0,0,0,0,68,55126.0,6,24,36,0,4,0,0,9,21,0.0
35443,45,13,45,1,0,0,0,55,43838.0,4,23,24,2,0,0,0,17,27,0.0
59947,52,22,52,0,0,0,0,60,54883.0,1,41,48,1,1,2,1,9,30,8.838
35710,38,10,38,0,0,0,1,53,44104.0,4,11,24,2,3,3,17,20,25,23.701999999999998
8182,26,0,26,1,0,0,0,68,30239.0,4,11,24,0,0,0,0,10,20,0.0
35959,38,3,38,0,0,0,0,47,44378.0,4,35,36,3,1,0,0,15,36,0.0
24162,48,20,48,0,0,0,0,62,38882.0,1,32,36,1,5,0,0,11,26,0.0
45775,34,8,34,0,0,0,0,60,48075.0,4,29,36,1,0,2,1,9,29,10.389000000000001
3208,33,2,33,0,0,0,0,56,26078.0,2,30,36,2,0,5,3,7,35,11.472000000000001
45480,48,18,48,0,0,0,0,76,48050.0,5,22,24,0,0,5,2,9,13,10.29
53366,44,16,44,1,0,0,0,53,51863.0,3,27,36,2,3,2,1,11,34,7.422000000000001
35180,28,1,28,0,0,0,0,49,43725.0,6,12,24,3,0,6,3,9,41,13.210999999999999
23304,46,18,46,1,0,0,0,37,38355.0,3,18,24,5,0,0,0,19,43,0.0
37649,45,15,45,0,0,0,0,61,45244.0,7,12,24,1,3,3,2,18,19,9.078
7701,34,2,34,0,0,0,0,69,29968.0,5,38,48,0,1,0,0,10,19,0.0
79547,19,0,19,1,0,0,0,65,61817.0,6,37,48,0,0,3,3,13,20,12.658
13619,24,0,24,1,0,0,0,43,32860.0,7,23,36,4,1,3,3,13,43,9.359
21113,41,14,41,1,0,0,0,70,37915.0,7,29,36,0,1,6,3,14,15,11.26
4373,13,0,13,1,0,0,0,65,26965.0,2,34,36,1,0,2,2,13,21,10.043
8352,42,12,42,1,0,0,0,42,30378.0,6,0,12,4,0,0,0,18,38,0.0
31251,38,9,38,1,0,0,0,69,41820.0,5,17,24,0,0,0,0,7,23,0.0
45630,43,12,43,0,0,0,0,61,48041.0,6,12,24,1,0,0,0,12,26,0.0
35218,27,2,27,1,0,0,0,56,43714.0,2,29,36,2,0,4,2,9,33,9.657
61852,53,22,53,1,0,0,0,59,55428.0,1,-2,0,2,0,0,0,6,34,0.0
807,65,37,65,1,0,0,0,50,19864.0,2,-7,0,3,2,0,0,12,37,0.0
55693,31,2,31,0,0,0,0,46,53222.0,7,18,24,4,0,3,2,13,40,10.460999999999999
61803,41,5,41,0,0,0,0,55,55314.0,7,40,48,2,0,5,11,13,30,17.955
24165,33,1,33,1,0,1,0,67,38892.0,2,9,12,0,0,0,0,7,25,0.0
894,41,10,41,0,0,0,0,53,19951.0,4,22,24,2,0,5,5,9,36,13.412
60457,29,1,29,1,0,0,0,55,55073.0,5,-1,0,2,0,2,0,8,35,0.0
53589,34,1,34,0,0,0,0,48,51999.0,6,23,36,3,0,2,1,12,38,8.116
3957,39,7,39,0,0,1,0,53,26459.0,4,29,36,2,2,3,2,5,41,12.742
22005,28,0,28,1,0,0,0,46,37951.0,5,34,36,4,2,0,0,6,47,0.0
49824,45,14,45,0,0,0,0,57,50710.0,7,22,24,2,1,0,0,16,25,0.0
4770,42,13,42,0,0,0,0,46,26970.0,4,34,36,4,0,0,0,15,38,0.0
31374,33,4,33,0,0,1,0,48,41920.0,3,13,24,4,1,5,3,15,36,10.363
56134,32,2,32,0,0,0,0,63,53215.0,4,15,24,1,0,2,1,5,30,7.519
50640,44,13,44,0,0,0,0,60,50866.0,5,35,48,1,1,0,0,10,29,0.0
2994,24,0,24,1,0,0,0,73,25798.0,3,8,12,0,0,0,0,8,18,0.0
48057,55,27,55,1,0,0,0,57,49501.0,5,-5,0,2,1,1,0,11,31,0.0
50303,33,6,33,0,0,0,0,56,50857.0,3,5,12,2,3,2,1,9,33,12.459000000000001
25551,23,0,23,0,0,0,0,28,39825.0,3,-6,0,7,1,0,0,16,54,0.0
14651,61,28,61,1,0,0,0,61,33912.0,6,24,36,1,0,0,0,20,18,0.0
38317,36,8,36,0,0,0,0,44,45541.0,4,34,36,4,6,2,1,10,44,8.586
49381,20,0,20,0,0,0,0,47,50183.0,5,33,36,4,0,4,1,13,39,9.366
30332,43,14,43,1,0,0,0,57,41301.0,3,37,48,2,3,0,0,10,31,0.0
35120,47,20,47,0,0,0,0,50,43520.0,4,41,48,3,1,0,0,12,37,0.0
13743,30,0,30,1,0,0,0,52,33069.0,3,41,48,3,0,2,1,8,38,8.336
52507,36,7,36,0,0,0,0,34,51513.0,2,12,24,5,0,2,1,19,45,10.068999999999999
27685,29,0,29,1,0,0,0,49,40918.0,4,17,24,3,0,2,2,14,36,12.116
49381,20,0,20,0,0,0,0,47,50183.0,5,33,36,4,0,4,1,13,39,9.366
20584,55,27,55,1,0,0,0,59,37459.0,2,13,24,1,0,4,2,13,26,9.32
55812,43,17,43,1,0,0,0,53,53236.0,4,24,36,3,1,0,0,12,34,0.0
11166,30,0,30,0,1,0,0,76,31934.0,6,22,24,0,0,4,1,12,11,12.085999999999999
7947,53,25,53,1,0,0,0,64,30008.0,4,22,24,0,2,2,2,11,23,9.606
8080,53,25,53,0,0,0,0,52,30138.0,3,30,36,3,1,3,1,12,34,9.292
62876,32,4,32,1,0,0,0,54,55648.0,6,22,24,2,2,1,1,15,30,9.016
38848,36,5,36,1,0,0,0,61,45683.0,2,12,24,1,0,2,1,8,30,13.352
21753,27,0,27,0,0,0,0,51,37990.0,4,12,24,3,4,3,2,13,34,8.532
301,46,20,46,1,0,0,0,51,17774.0,3,36,48,3,1,4,3,5,43,10.257
16576,38,6,38,0,0,0,0,62,35054.0,3,36,48,1,1,0,0,16,21,0.0
40680,38,8,38,0,0,1,0,46,46459.0,7,40,48,4,3,0,14,9,44,21.076999999999998
19862,49,22,49,1,0,0,0,63,37123.0,3,20,24,1,0,0,0,10,25,0.0
41985,32,7,32,1,0,0,0,47,46623.0,6,29,36,3,2,1,1,14,37,8.068999999999999
34432,36,4,36,0,0,0,0,47,42726.0,2,14,24,3,0,0,0,5,46,0.0
55299,25,0,25,0,0,0,0,48,52754.0,7,30,36,3,1,5,23,9,42,29.641
31868,42,12,42,0,0,0,0,55,42002.0,2,15,24,2,3,3,2,15,29,11.665999999999999
30352,53,22,53,0,0,0,0,55,41264.0,1,-6,0,2,3,0,0,10,33,0.0
27826,40,14,40,0,0,0,0,71,40853.0,4,12,24,0,0,1,1,11,17,9.357000000000001
42115,39,10,39,1,0,0,0,63,46564.0,2,11,24,1,0,0,0,10,25,0.0
4848,36,5,36,0,0,0,0,63,26963.0,5,-4,0,1,0,0,0,5,31,0.0
30516,44,14,44,1,0,0,0,65,41284.0,6,19,24,0,1,0,0,7,27,0.0
62681,45,17,45,1,0,0,0,68,55633.0,7,39,48,0,3,0,0,15,15,0.0
1703,52,24,52,0,0,0,0,63,23120.0,1,18,24,1,1,0,0,13,23,0.0
52151,30,0,30,1,0,0,0,28,51506.0,5,11,24,7,0,3,1,14,57,9.562000000000001
342,20,0,20,1,0,0,0,62,17751.0,4,12,24,1,0,2,2,10,27,9.79
29073,28,1,28,1,0,0,0,60,41037.0,5,20,24,1,2,0,0,11,28,0.0
16446,40,9,40,0,0,0,0,51,35054.0,4,22,24,3,0,0,0,25,23,0.0
10146,38,13,38,0,0,0,0,63,31484.0,5,12,24,1,0,5,1,11,24,8.132
10989,41,9,41,1,0,0,0,62,31924.0,5,22,24,1,0,6,3,14,22,11.690999999999999
36715,48,17,48,0,0,0,0,66,44389.0,3,40,48,0,1,1,1,8,24,12.517000000000001
13579,38,9,38,1,0,0,0,66,32870.0,7,11,24,0,1,0,0,17,15,0.0
11899,19,0,19,0,0,0,0,57,32089.0,4,-2,0,2,3,0,0,12,30,0.0
34458,32,0,32,1,0,0,0,46,42699.0,2,23,24,4,0,1,12,7,46,19.149
57299,30,0,30,1,0,0,0,55,53971.0,2,-5,0,2,0,1,0,11,32,0.0
51267,37,3,37,0,0,0,0,31,51070.0,6,38,48,6,1,0,0,15,52,0.0
29400,30,0,30,0,0,0,0,59,41150.0,2,24,36,1,1,1,6,8,32,12.537
5791,52,22,52,0,0,0,0,64,28294.0,2,12,24,1,0,4,2,8,26,9.296
52402,47,17,47,0,0,0,0,59,51537.0,4,14,24,1,0,0,0,15,25,0.0
23086,27,0,27,0,0,0,0,34,38203.0,5,-4,0,6,0,0,0,15,49,0.0
15431,11,0,11,1,0,0,0,61,34561.0,5,20,24,1,1,0,0,11,27,0.0
46722,48,20,48,1,0,0,0,64,48641.0,6,8,12,1,3,0,0,3,32,0.0
18145,32,2,32,0,0,0,0,48,35459.0,4,-5,0,3,1,0,0,8,42,0.0
26863,56,22,56,0,0,0,0,54,40296.0,2,20,24,2,4,4,1,11,34,8.994
28271,35,3,35,1,0,0,0,30,41001.0,3,10,12,6,0,4,3,18,50,9.576
15826,48,20,48,0,0,0,0,43,34847.0,4,35,48,4,0,0,0,14,42,0.0
49906,29,1,29,0,0,0,0,56,50721.0,2,24,36,2,0,0,0,12,31,0.0
12423,34,5,34,0,0,0,0,67,32214.0,5,27,36,0,1,0,0,6,25,0.0
41247,39,9,39,1,0,0,0,54,46581.0,3,-1,0,2,1,2,0,19,25,0.0
19482,55,28,55,1,0,0,0,59,36735.0,3,11,24,2,0,0,0,8,31,0.0
57096,23,0,23,0,0,0,0,56,54050.0,2,-2,0,2,1,0,0,14,28,0.0
58728,25,0,25,1,0,0,0,52,54628.0,3,35,48,3,1,3,1,9,37,12.16
2248,31,1,31,1,0,1,0,68,24374.0,2,40,48,0,1,4,1,16,14,7.517
47997,13,0,13,1,0,0,0,46,49521.0,4,-4,0,3,0,0,0,12,40,0.0
54871,40,9,40,1,0,0,0,50,52640.0,7,24,36,3,0,3,3,11,37,11.922
21085,62,37,62,0,0,0,0,67,37906.0,5,38,48,0,0,0,0,7,25,0.0
107203,25,0,25,0,0,0,0,57,71508.0,5,24,36,2,1,2,9,6,36,16.262999999999998
51813,34,6,34,0,0,0,0,61,51399.0,4,18,24,1,2,0,0,13,25,0.0
20636,22,0,22,1,0,0,0,62,37502.0,2,31,36,1,0,3,2,6,31,8.362
61838,46,11,46,0,0,0,0,56,55259.0,7,20,24,2,0,2,2,12,30,9.509
27116,29,0,29,1,0,0,0,68,40397.0,4,29,36,0,0,0,0,7,24,0.0
13823,42,11,42,0,0,0,0,62,33309.0,2,40,48,1,3,1,1,7,30,12.696
38179,22,0,22,1,0,0,0,40,45437.0,7,40,48,5,1,4,1,13,46,9.946
9729,60,28,60,1,0,0,0,60,31346.0,3,30,36,1,0,0,0,11,27,0.0
46752,22,0,22,0,0,0,0,67,48647.0,6,23,36,0,1,0,0,13,19,0.0
9891,35,4,35,1,0,0,0,63,31289.0,3,30,36,1,1,0,0,12,23,0.0
24479,18,0,18,1,0,0,0,48,38994.0,5,-4,0,3,3,0,0,12,38,0.0
5851,37,8,37,0,0,0,0,59,28329.0,5,19,24,2,1,6,4,6,33,11.067
1091,29,0,29,0,0,0,0,31,21057.0,2,-6,0,6,0,0,0,18,49,0.0
62449,11,0,11,1,0,1,0,53,55527.0,4,5,12,3,3,2,1,12,34,8.293
6856,46,16,46,0,0,0,0,60,28966.0,6,23,36,1,3,2,1,6,32,8.822000000000001
23776,46,19,46,1,0,0,0,51,38515.0,3,27,36,3,0,0,0,10,37,0.0
10572,43,12,43,0,0,0,0,62,31876.0,4,24,36,1,1,4,1,13,24,10.276
6969,41,14,41,0,0,0,0,41,29088.0,2,33,36,4,2,0,0,20,37,0.0
11906,26,0,26,0,0,0,0,57,32093.0,2,10,12,2,0,0,0,7,35,0.0
32637,45,16,45,1,0,0,0,56,42315.0,2,-3,0,2,2,0,0,9,33,0.0
8537,38,14,38,0,0,0,0,43,30646.0,4,22,24,4,2,3,2,9,46,8.62
3367,22,0,22,0,0,0,0,58,26065.0,7,5,12,2,0,0,0,12,29,0.0
22586,50,17,50,0,0,0,0,50,38226.0,5,16,24,3,3,2,1,7,42,10.372
15308,28,0,28,0,0,0,0,46,34365.0,5,17,24,3,0,0,0,11,41,0.0
105993,23,0,23,0,0,0,0,48,71113.0,5,13,24,3,0,5,3,13,38,12.085
41327,43,14,43,1,0,0,0,51,46630.0,5,20,24,3,1,0,0,19,29,0.0
16486,31,4,31,0,0,0,0,62,35079.0,7,22,24,1,1,0,0,6,31,0.0
52872,23,0,23,0,0,0,0,50,51733.0,5,38,48,3,1,0,0,7,42,0.0
25042,15,0,15,1,0,0,0,46,39270.0,7,-6,0,4,0,0,0,10,43,0.0
42552,48,16,48,0,0,0,0,36,46787.0,7,-4,0,5,3,0,0,12,51,0.0
62560,50,19,50,0,0,0,0,66,55499.0,6,21,24,0,2,4,1,10,23,8.333
45589,34,6,34,1,0,0,0,58,47997.0,7,16,24,2,1,0,0,3,37,0.0
59026,40,9,40,0,0,0,0,58,54595.0,5,24,36,1,3,0,0,9,31,0.0
40374,37,6,37,1,0,0,0,62,46133.0,6,-4,0,1,1,0,0,11,26,0.0
28332,42,14,42,0,0,0,0,39,40999.0,2,40,48,5,0,3,1,8,51,8.25
